LicenseID,License Type,Name of Program,County,Capacity,Ages Served/FCC Classification,Initial Effective Date,StateAsOfDate,License State,Year
1087746,Child Care Center,New Creations Child Care & Learning Center,Hennepin,75,"Infant, Toddler, Preschool, ",10/16/2017,10/16/2017,Active,2018
1087747,Child Care Center,Little Learning Academy,Hennepin,73,"Infant, Toddler, Preschool, School Age",9/18/2017,9/18/2017,Active,2018
1087922,Child Care Center,Kids Cove Academy LLC,Olmsted,49,"Infant, Toddler, Preschool, ",11/16/2017,11/16/2017,Active,2018
1087969,Child Care Center,Kootasca Head Start Kiesler Center,Itasca,6,"Preschool, ",9/12/2017,9/12/2017,Active,2018
1088040,Child Care Center,Learning Ladder Center,Dakota,38,"Infant, Toddler, Preschool, School Age",12/4/2017,12/4/2017,Active,2018
1088054,Child Care Center,Merry Moose Childcare Infant Center,Stearns,16,"Infant, ",9/5/2017,9/5/2017,Active,2018
1088066,Child Care Center,Goddard School,Carver,137,"Infant, Toddler, Preschool, ",11/10/2017,11/10/2017,Active,2018
1088084,Child Care Center,Yellow Brick Road Early Childhood Development Center,Hennepin,88,"Infant, Toddler, Preschool, ",9/11/2017,9/11/2017,Active,2018
1088247,Child Care Center,Frazee Center 2,Becker,16,"Preschool, ",9/20/2017,9/20/2017,Active,2018
1088343,Child Care Center,Children of Tomorrow Learning Centers Carver,Carver,128,"Infant, Toddler, Preschool, School Age",9/5/2017,9/5/2017,Active,2018
1088402,Child Care Center,Primrose School of Cottage Grove,Washington,180,"Infant, Toddler, Preschool, School Age",12/26/2017,12/26/2017,Active,2018
1088485,Child Care Center,Whittier Childcare LTD,Hennepin,48,"Infant, Toddler, Preschool, School Age",11/2/2017,11/2/2017,Active,2018
1088506,Child Care Center,Future Scholars Childcare Inc,Hennepin,56,"Infant, Toddler, Preschool, School Age",10/25/2017,10/25/2017,Active,2018
