school_district,school_name,K_enroll,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,notes
MINNEAPOLIS,ANDERSEN UNITED COMMUNITY SCHOOL,93,0.8495,0.1505,0.0000,0.0000,
ST. CLOUD,OAK HILL COMMUNITY EL.,113,0.8496,0.1327,0.0177,0.0000,
CANNON RIVER STEM SCHOOL,CANNON RIVER STEM SCHOOL,40,0.8500,0.1250,0.0250,0.0000,
ST. PAUL,ST. AGNES EL,40,0.8500,0.0250,0.1250,0.0000,
WAYZATA,PROVIDENCE ACADEMY,40,0.8500,0.0250,0.1250,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,GRAINWOOD EL.,75,0.8533,0.0267,0.1200,0.0000,
MILACA,MILACA EL.,124,0.8548,0.1048,0.0323,0.0081,
ST. PAUL,FARNSWORTH LOWER,97,0.8557,0.1443,0.0000,0.0000,
CALEDONIA,ST JOHNS EV LUTHERAN,7,0.8571,0.1429,0.0000,0.0000,
DULUTH,LAKEWOOD EL.,35,0.8571,0.1429,0.0000,0.0000,
FRIDLEY,WOODCREST BAPTIST ACADEMY,7,0.8571,0.0000,0.1429,0.0000,
LAKEVILLE,SOUTHVIEW CHRISTIAN,7,0.8571,0.0000,0.1429,0.0000,
N.E. METRO INTERMEDIATE DIST. 916,KARNER BLUE ELEMENTARY,7,0.8571,0.1429,0.0000,0.0000,
NORTH ST PAUL-MAPLEWOOD,MOUNDS PARK ACADEMY,14,0.8571,0.1429,0.0000,0.0000,
OSAKIS,ST AGNES SCHOOL,7,0.8571,0.0000,0.1429,0.0000,
ST. LOUIS COUNTY,BABBITT EL.,14,0.8571,0.0000,0.1429,0.0000,
DASSEL-COKATO,COKATO EL.,92,0.8587,0.0109,0.1304,0.0000,
ST. PAUL,HOLY SPIRIT,22,0.8636,0.0000,0.1364,0.0000,
ST. PAUL,HIGHLAND PARK EL.,59,0.8644,0.1186,0.0169,0.0000,
WAUBUN,WAUBUN/OGEMA  SCHOOL,59,0.8644,0.1356,0.0000,0.0000,
ALBERT LEA,LAKEVIEW EL.,52,0.8654,0.1154,0.0192,0.0000,
NOVA CLASSICAL ACADEMY,NOVA CLASSICAL ACADEMY - LOWER SCHOOL,82,0.8659,0.1098,0.0244,0.0000,
ANOKA-HENNEPIN,JEFFERSON EL.,120,0.8667,0.1083,0.0250,0.0000,
CALEDONIA,ST MARYS ELEMENTARY,15,0.8667,0.0667,0.0667,0.0000,
HIBBING,VICTORY CHRISTIAN ACADEMY,15,0.8667,0.0000,0.1333,0.0000,
LANCASTER,LANCASTER EL.,15,0.8667,0.1333,0.0000,0.0000,
