school_district,school_name,K_enroll,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,notes
BLUFFVIEW MONTESSORI,BLUFFVIEW MONTESSORI,23,0.9130,0.0435,0.0435,0.0000,
BUFFALO,ST FRANCIS XAVIER,23,0.9130,0.0000,0.0870,0.0000,
COOK COUNTY,SAWTOOTH MOUNTAIN ELEMENTARY,23,0.9130,0.0870,0.0000,0.0000,
LONG PRAIRIE-GREY EAGLE,ST MARY OF MT CARMEL,23,0.9130,0.0000,0.0870,0.0000,
WALKER-HACKENSACK-AKELEY,W.H.A. EL.,69,0.9130,0.0145,0.0725,0.0000,
MINNETONKA,DEEPHAVEN EL.,104,0.9135,0.0288,0.0577,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,SOUTHVIEW EL.,104,0.9135,0.0481,0.0385,0.0000,
FOREST LAKE,WYOMING EL.,81,0.9136,0.0000,0.0864,0.0000,
ALBERT LEA,HAWTHORNE EL.,70,0.9143,0.0714,0.0143,0.0000,
BENSON,NORTHSIDE EL.,70,0.9143,0.0571,0.0286,0.0000,
MOORHEAD,ST JOSEPH,35,0.9143,0.0000,0.0857,0.0000,
MOORHEAD,S. G. REINERTSEN ELEMENTARY,129,0.9147,0.0620,0.0233,0.0000,
MINNEAPOLIS,JEFFERSON EL.,47,0.9149,0.0851,0.0000,0.0000,
BLOOMINGTON,VALLEY VIEW ELEMENTARY,71,0.9155,0.0423,0.0423,0.0000,
ST. PAUL,ST. ANTHONY PARK,95,0.9158,0.0526,0.0316,0.0000,
DULUTH,HOLY ROSARY,36,0.9167,0.0278,0.0000,0.0556,
DULUTH,LAKEVIEW CHRISTIAN ACADEMY,12,0.9167,0.0000,0.0833,0.0000,
EAST GRAND FORKS,RIVERSIDE CHRISTIAN SCHOOL,12,0.9167,0.0000,0.0833,0.0000,
FRASER ACADEMY,SPERO ACADEMY,12,0.9167,0.0000,0.0833,0.0000,
LAKE SUPERIOR,MINNEHAHA INTERMEDIATE EL.,60,0.9167,0.0167,0.0500,0.0167,
MAPLE LAKE,MAPLE LAKE EL.,48,0.9167,0.0625,0.0208,0.0000,
MOUNDS VIEW,OAK HILL MONTESSORI,12,0.9167,0.0833,0.0000,0.0000,
OSAKIS,OSAKIS SEC.,48,0.9167,0.0000,0.0833,0.0000,
PRAIRIE SEEDS ACADEMY,PRAIRIE SEEDS ACADEMY,60,0.9167,0.0833,0.0000,0.0000,
ROCORI,SAINTS PETER & PAUL,12,0.9167,0.0833,0.0000,0.0000,
ST. CLOUD,ST MARY HELP OF CHRISTIANS,12,0.9167,0.0000,0.0833,0.0000,
TECHNICAL ACADEMIES OF MINNESOTA,TEAM ACADEMY,12,0.9167,0.0833,0.0000,0.0000,
TWIN CITIES GERMAN IMMERSION CHRTR,TWIN CITIES GERMAN IMMERSION CHRTR,72,0.9167,0.0694,0.0139,0.0000,
WESTONKA,OUR LADY OF THE LAKE,12,0.9167,0.0000,0.0833,0.0000,
ANOKA-HENNEPIN,EVERGREEN PARK EL.,73,0.9178,0.0822,0.0000,0.0000,
LONG PRAIRIE-GREY EAGLE,LONG PRAIRIE EL.,73,0.9178,0.0274,0.0548,0.0000,
SOUTH WASHINGTON COUNTY,NUEVAS FRONTERAS SPANISH IMMERSION,73,0.9178,0.0000,0.0685,0.0137,
MINNETONKA,SCENIC HEIGHTS EL.,122,0.9180,0.0328,0.0328,0.0164,
ST. PAUL,ADAMS,110,0.9182,0.0364,0.0455,0.0000,
EAST CENTRAL,EAST CENTRAL EL.,37,0.9189,0.0811,0.0000,0.0000,
HIAWATHA LEADERSHIP ACADEMY,HIAWATHA LEADERSHIP ACADEMY-NORTHROP,74,0.9189,0.0811,0.0000,0.0000,
HOLDINGFORD,HOLDINGFORD EL.,74,0.9189,0.0135,0.0676,0.0000,
MANKATO,KENNEDY EL.,62,0.9194,0.0161,0.0645,0.0000,
OWATONNA,MCKINLEY EL.,87,0.9195,0.0230,0.0575,0.0000,
PEQUOT LAKES,PEQUOT LAKES EL.,112,0.9196,0.0357,0.0446,0.0000,
DAVINCI ACADEMY,DAVINCI ACADEMY,100,0.9200,0.0200,0.0500,0.0100,
FERTILE-BELTRAMI,FERTILE-BELTRAMI EL.,25,0.9200,0.0400,0.0400,0.0000,
FRAZEE-VERGAS,FRAZEE EL.,50,0.9200,0.0000,0.0800,0.0000,
ST. PAUL,HORACE MANN,75,0.9200,0.0800,0.0000,0.0000,
TRI-CITY UNITED SCHOOL DISTRICT,LECENTER K-8,50,0.9200,0.0400,0.0200,0.0200,
CARLTON,SOUTH TERRACE EL.,38,0.9211,0.0000,0.0526,0.0263,
ST. LOUIS COUNTY,CHERRY EL.,38,0.9211,0.0000,0.0789,0.0000,
STILLWATER,RUTHERFORD EL.,76,0.9211,0.0263,0.0526,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,REDTAIL RIDGE ELEMENATARY,127,0.9213,0.0157,0.0630,0.0000,
VIRGINIA,PARKVIEW EL,128,0.9219,0.0313,0.0469,0.0000,
ELK RIVER,OTSEGO EL.,90,0.9222,0.0000,0.0778,0.0000,
FARMINGTON,FARMINGTON EL.,90,0.9222,0.0333,0.0444,0.0000,
CAMBRIDGE-ISANTI,CAMBRIDGE PRIMARY SCHOOL,168,0.9226,0.0357,0.0417,0.0000,
HIBBING,ASSUMPTION,13,0.9231,0.0000,0.0769,0.0000,
LAKEVILLE,OAK HILLS ELEMENTARY,91,0.9231,0.0110,0.0659,0.0000,
MARSHALL,TRUE LIGHT CHRISTIAN SCHOOL,13,0.9231,0.0000,0.0769,0.0000,
MINNEAPOLIS,OUR LADY OF PEACE,13,0.9231,0.0769,0.0000,0.0000,
MINNEAPOLIS,ST. HELENA,13,0.9231,0.0769,0.0000,0.0000,
MOORHEAD,DOROTHY DODDS ELEMENTARY SCHOOL,143,0.9231,0.0699,0.0070,0.0000,
ROSEVILLE,KING OF KINGS LUTHERAN,13,0.9231,0.0769,0.0000,0.0000,
ST. CLOUD,ALL SAINTS ACADEMY - ST CLOUD CAMPUS,26,0.9231,0.0769,0.0000,0.0000,
ST. PAUL,RANDOLPH HEIGHTS,78,0.9231,0.0128,0.0641,0.0000,
STAPLES-MOTLEY,SACRED HEART,13,0.9231,0.0769,0.0000,0.0000,
WILLOW RIVER,WILLOW RIVER EL.,26,0.9231,0.0769,0.0000,0.0000,
WINONA AREA PUBLIC SCHOOLS,ROLLINGSTONE COMMUNITY EL.,13,0.9231,0.0769,0.0000,0.0000,
MINNEAPOLIS,BANCROFT EL.,92,0.9239,0.0652,0.0109,0.0000,
BRAINERD,LOWELL EL.,66,0.9242,0.0303,0.0455,0.0000,
GLOBAL ACADEMY,GLOBAL ACADEMY,53,0.9245,0.0755,0.0000,0.0000,
EDINA,COUNTRYSIDE EL.,80,0.9250,0.0125,0.0500,0.0125,
PIERZ,PIONEER EL.,67,0.9254,0.0299,0.0448,0.0000,
Statewide,Statewide,"67,372",0.9254,0.0406,0.0325,0.0016,
ELK RIVER,ZIMMERMAN EL.,188,0.9255,0.0053,0.0691,0.0000,
FERGUS FALLS,MCKINLEY EL.,202,0.9257,0.0149,0.0594,0.0000,
AUSTIN,PACELLI CATHOLIC  SCHOOLS,27,0.9259,0.0370,0.0370,0.0000,
SAUK CENTRE,SAUK CENTRE EL.,81,0.9259,0.0247,0.0494,0.0000,
SPRING LAKE PARK,WOODCREST EL.,108,0.9259,0.0000,0.0370,0.0370,
CROSBY-IRONTON,CUYUNA RANGE EL.,68,0.9265,0.0000,0.0735,0.0000,
DELANO,DELANO EL.,150,0.9267,0.0200,0.0533,0.0000,
DULUTH,LOWELL EL.,96,0.9271,0.0729,0.0000,0.0000,
NOBLE ACADEMY,NOBLE ACADEMY,110,0.9273,0.0727,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,CRESTVIEW EL.,55,0.9273,0.0364,0.0364,0.0000,
GRAND RAPIDS,COHASSET EL.,69,0.9275,0.0290,0.0435,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,FIVE HAWKS EL.,97,0.9278,0.0412,0.0206,0.0103,
CHISAGO LAKES,TAYLORS FALLS EL.,56,0.9286,0.0000,0.0714,0.0000,
EDEN PRAIRIE,FOREST HILLS EL.,98,0.9286,0.0000,0.0612,0.0102,
GLENCOE-SILVER LAKE,LINCOLN EL.,98,0.9286,0.0204,0.0510,0.0000,
HASTINGS,ST JOHN THE BAPTIST-VERMILLION,14,0.9286,0.0000,0.0714,0.0000,
HENDRICKS,HENDRICKS PUBLIC SCHOOL,14,0.9286,0.0714,0.0000,0.0000,
HOUSTON,HOUSTON EL.,28,0.9286,0.0714,0.0000,0.0000,
MOOSE LAKE,MOOSE LAKE EL.,56,0.9286,0.0536,0.0179,0.0000,
ROCHESTER,ROCHESTER ARTS AND SCIENCE ACADEMY,14,0.9286,0.0714,0.0000,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,PARKVIEW EL.,154,0.9286,0.0455,0.0260,0.0000,
WEST CENTRAL AREA,WEST CENTRAL AREA NORTH ELEMENTARY,28,0.9286,0.0357,0.0357,0.0000,
ELK RIVER,LINCOLN EL.,113,0.9292,0.0000,0.0708,0.0000,
DULUTH,PIEDMONT EL.,99,0.9293,0.0101,0.0606,0.0000,
NORTHFIELD,GREENVALE PARK EL.,85,0.9294,0.0118,0.0588,0.0000,
ST. LOUIS PARK,AQUILA EL.,100,0.9300,0.0500,0.0200,0.0000,
EDINA,CREEK VALLEY EL.,86,0.9302,0.0000,0.0698,0.0000,
FOSSTON,MAGELSSEN EL.,43,0.9302,0.0233,0.0465,0.0000,
LAKE PARK-AUDUBON,LAKE PARK ELEMENTARY,43,0.9302,0.0000,0.0698,0.0000,
MINNEAPOLIS,WHITTIER PARK INTERNATIONAL EL.,86,0.9302,0.0698,0.0000,0.0000,
SEVEN HILLS CLASSICAL ACADEMY,SEVEN HILLS PREPATORY ACADEMY - UPPER,43,0.9302,0.0233,0.0465,0.0000,
BELLE PLAINE,CHATFIELD ELEMENTARY,144,0.9306,0.0000,0.0625,0.0069,
ANNANDALE,ANNANDALE EL,145,0.9310,0.0000,0.0690,0.0000,
NORTH ST PAUL-MAPLEWOOD,RICHARDSON EL.,87,0.9310,0.0230,0.0460,0.0000,
OSSEO,OAK VIEW EL.,87,0.9310,0.0230,0.0460,0.0000,
RICHFIELD,BLESSED TRINITY-PENN CAMPUS,29,0.9310,0.0345,0.0000,0.0345,
ROSEMOUNT-APPLE VALLEY-EAGAN,NORTHVIEW EL.,87,0.9310,0.0115,0.0575,0.0000,
BECKER,BECKER PRIMARY SCHOOL,204,0.9314,0.0049,0.0637,0.0000,
WEST ST. PAUL-MENDOTA HTS.-EAGAN,MENDOTA EL.,88,0.9318,0.0227,0.0455,0.0000,
OSSEO,FERNBROOK EL.,119,0.9328,0.0000,0.0672,0.0000,
ALEXANDRIA,LINCOLN EL.,75,0.9333,0.0267,0.0400,0.0000,
CHASKA,LA ACADEMIA,75,0.9333,0.0000,0.0667,0.0000,
ELK RIVER,MEADOWVALE EL.,90,0.9333,0.0000,0.0667,0.0000,
ELLSWORTH,ELLSWORTH EL.,15,0.9333,0.0000,0.0667,0.0000,
JORDAN,JORDAN EL.,120,0.9333,0.0000,0.0583,0.0083,
MINNEAPOLIS,POPE JOHN PAUL II,15,0.9333,0.0667,0.0000,0.0000,
MORRIS AREA PUBLIC SCHOOLS,ST. MARY CATHOLIC SCHOOL,15,0.9333,0.0000,0.0667,0.0000,
ROCHESTER,WASHINGTON EL.,60,0.9333,0.0500,0.0167,0.0000,
ST CROIX PREPARATORY ACADEMY,ST CROIX PREPARATORY ACADEMY,90,0.9333,0.0111,0.0556,0.0000,
PRINCETON,PRINCETON PRIMARY SCHOOL  K-2,241,0.9336,0.0290,0.0373,0.0000,
BEMIDJI,LINCOLN EL.,76,0.9342,0.0395,0.0263,0.0000,
SOUTH WASHINGTON COUNTY,NEWPORT EL.,46,0.9348,0.0435,0.0217,0.0000,
WHITE BEAR LAKE,MATOSKA INTERNATIONAL,92,0.9348,0.0000,0.0652,0.0000,
CHASKA,VICTORIA ELEMENTARY SCHOOL,124,0.9355,0.0161,0.0484,0.0000,
MINNEAPOLIS,ASCENSION,31,0.9355,0.0645,0.0000,0.0000,
MINNEAPOLIS,LAKE COUNTRY,31,0.9355,0.0000,0.0645,0.0000,
BEACON ACADEMY,BEACON ACADEMY,78,0.9359,0.0128,0.0513,0.0000,
PINE ISLAND,PINE ISLAND EL.,141,0.9362,0.0071,0.0567,0.0000,
WAYZATA,OAKWOOD EL.,94,0.9362,0.0426,0.0213,0.0000,
SOUTH WASHINGTON COUNTY,COTTAGE GROVE ELEMENTARY,63,0.9365,0.0000,0.0635,0.0000,
SPRING LAKE PARK,PARK TERRACE EL.,142,0.9366,0.0141,0.0493,0.0000,
MINNEAPOLIS,KENNY ELEMENTARY,79,0.9367,0.0633,0.0000,0.0000,
LAKES INTERNATIONAL LANGUAGE ACADEMY,LAKES INTERNATIONAL LANGUAGE ACADEMY,127,0.9370,0.0079,0.0551,0.0000,
BUFFALO,MONTROSE EL.,64,0.9375,0.0313,0.0313,0.0000,
BURNSVILLE,SIOUX TRAIL EL.,48,0.9375,0.0208,0.0417,0.0000,
LESUEUR-HENDERSON,ST ANNES,16,0.9375,0.0000,0.0625,0.0000,
NORTH ST PAUL-MAPLEWOOD,CASTLE EL.,80,0.9375,0.0250,0.0250,0.0125,
ROBBINSDALE,ROBBINSDALE STEAM,64,0.9375,0.0000,0.0625,0.0000,
ST. CLOUD,PRINCE OF PEACE LUTHERAN,16,0.9375,0.0625,0.0000,0.0000,
WIN-E-MAC,WIN-E-MAC SCHOOL,32,0.9375,0.0000,0.0625,0.0000,
DETROIT LAKES,ROOSEVELT EL.,113,0.9381,0.0265,0.0354,0.0000,
WHITE BEAR LAKE,WILLOW LANE EL.,81,0.9383,0.0123,0.0370,0.0123,
BLOOMINGTON,OAK GROVE EL.,65,0.9385,0.0308,0.0308,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,WESTWOOD EL.,65,0.9385,0.0154,0.0154,0.0308,
ANOKA-HENNEPIN,UNIVERSITY EL.,98,0.9388,0.0102,0.0510,0.0000,
TRI-CITY UNITED SCHOOL DISTRICT,LONSDALE K-4,49,0.9388,0.0000,0.0612,0.0000,
MINNEAPOLIS,LYNDALE EL.,82,0.9390,0.0122,0.0488,0.0000,
EDEN PRAIRIE,EDEN LAKE EL.,115,0.9391,0.0000,0.0435,0.0174,
CAMBRIDGE-ISANTI,SCHOOL FOR ALL SEASONS,33,0.9394,0.0303,0.0303,0.0000,
EDEN PRAIRIE,EAGLE HEIGHTS SPANISH IMMERSION SCHOOL,132,0.9394,0.0000,0.0530,0.0076,
MINNEAPOLIS,HALE EL.,132,0.9394,0.0455,0.0152,0.0000,
MINNESOTA TRANSITIONS CHARTER SCH,BANAADIR ACADEMY K-8,33,0.9394,0.0606,0.0000,0.0000,
LAKE CITY,BLUFF VIEW EL.,83,0.9398,0.0000,0.0602,0.0000,
CANBY,CANBY EL.,50,0.9400,0.0000,0.0600,0.0000,
CHASKA,ST HUBERT CATHOLIC SCHOOL,50,0.9400,0.0000,0.0600,0.0000,
FOREST LAKE,FOREST VIEW EL.,100,0.9400,0.0400,0.0200,0.0000,
ROCHESTER,LINCOLN AT MANN EL.,50,0.9400,0.0000,0.0600,0.0000,
MAHTOMEDI,WILDWOOD EL.,184,0.9402,0.0109,0.0489,0.0000,
LAKEVILLE,EASTVIEW EL.,101,0.9406,0.0000,0.0594,0.0000,
OSSEO,RICE LAKE EL.,118,0.9407,0.0085,0.0508,0.0000,
CENTENNIAL,GOLDEN LAKE EL.,68,0.9412,0.0147,0.0441,0.0000,
FILLMORE CENTRAL,FILLMORE CENTRAL EL.,34,0.9412,0.0294,0.0294,0.0000,
MANKATO,ROOSEVELT EL.,68,0.9412,0.0000,0.0588,0.0000,
MINNEAPOLIS,TRINITY FIRST LUTHERAN,17,0.9412,0.0000,0.0588,0.0000,
OSSEO,ST JOHNS LUTHERAN,17,0.9412,0.0000,0.0588,0.0000,
SOUTH WASHINGTON COUNTY,VALLEY CROSSING ELEMENTARY,102,0.9412,0.0000,0.0490,0.0098,
WHITE BEAR LAKE,FIRST LUTHERAN MAGNESON SCHOOL,17,0.9412,0.0000,0.0588,0.0000,
DETROIT LAKES,ROSSMAN EL.,103,0.9417,0.0194,0.0388,0.0000,
BLOOMINGTON,POPLAR BRIDGE EL.,86,0.9419,0.0116,0.0465,0.0000,
MINNETONKA,CLEAR SPRINGS ELEMENTARY,172,0.9419,0.0233,0.0233,0.0116,
ST. PAUL,VENTO,86,0.9419,0.0465,0.0116,0.0000,
BARNUM,BARNUM EL.,52,0.9423,0.0192,0.0385,0.0000,
NORTH ST PAUL-MAPLEWOOD,SKYVIEW COMMUNITY EL.,87,0.9425,0.0000,0.0460,0.0115,
OSSEO,ZANEWOOD COMMUNITY SCHOOL,70,0.9429,0.0571,0.0000,0.0000,
ST. ANTHONY-NEW BRIGHTON,ST CHARLES BORROMEO,35,0.9429,0.0571,0.0000,0.0000,
WATERVILLE-ELYSIAN-MORRISTOWN,WATERVILLE EL.,53,0.9434,0.0189,0.0377,0.0000,
EDEN PRAIRIE,OAK POINT EL.,89,0.9438,0.0225,0.0000,0.0337,
ADRIAN,ADRIAN ELEMENTARY,36,0.9444,0.0278,0.0278,0.0000,
ALBERT LEA,HALVERSON EL.,54,0.9444,0.0556,0.0000,0.0000,
BLOOMINGTON,WESTWOOD EL.,72,0.9444,0.0000,0.0556,0.0000,
ELK RIVER,ST ANDREWS CATHOLIC SCHOOL,18,0.9444,0.0000,0.0556,0.0000,
MELROSE,ST MARY,18,0.9444,0.0556,0.0000,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,ST MICHAELS CATHOLIC,18,0.9444,0.0000,0.0556,0.0000,
REDWOOD FALLS AREA SCHOOLS,ST JOHN LUTHERAN,18,0.9444,0.0000,0.0556,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,ECHO PARK EL.,127,0.9449,0.0157,0.0394,0.0000,
DULUTH PUBLIC SCHOOLS ACADEMY,NORTH STAR,91,0.9451,0.0440,0.0110,0.0000,
WACONIA,BAYVIEW ELEMENTARY,91,0.9451,0.0000,0.0549,0.0000,
MINNEAPOLIS,ANNUNCIATION,37,0.9459,0.0000,0.0541,0.0000,
ELK RIVER,HASSAN ELEMENTARY,112,0.9464,0.0179,0.0357,0.0000,
SHAKOPEE,SWEENEY EL.,112,0.9464,0.0089,0.0446,0.0000,
BURNSVILLE,HIDDEN VALLEY EL.,75,0.9467,0.0000,0.0533,0.0000,
RICHFIELD,SHERIDAN HILLS EL.,75,0.9467,0.0400,0.0133,0.0000,
AURORA CHARTER SCHOOL,AURORA CHARTER SCHOOL,38,0.9474,0.0526,0.0000,0.0000,
BLOOMINGTON,RIDGEVIEW EL.,57,0.9474,0.0000,0.0526,0.0000,
MEDFORD,MEDFORD EL.,57,0.9474,0.0351,0.0175,0.0000,
NEW PRAGUE AREA SCHOOLS,EAGLE VIEW ELEMENTARY,76,0.9474,0.0000,0.0526,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,THOMAS LAKE EL.,76,0.9474,0.0000,0.0526,0.0000,
ST. PAUL,JIE MING MANDARIN IMMERSION ACADEMY,76,0.9474,0.0263,0.0263,0.0000,
DULUTH,HOMECROFT EL.,58,0.9483,0.0345,0.0172,0.0000,
MINNETONKA,GROVELAND EL.,155,0.9484,0.0000,0.0452,0.0065,
WESTONKA,HILLTOP PRIMARY SCHOOL,97,0.9485,0.0000,0.0515,0.0000,
LAKEVILLE,ORCHARD LAKE EL.,78,0.9487,0.0128,0.0385,0.0000,
SOUTHLAND,SOUTHLAND EL.,39,0.9487,0.0513,0.0000,0.0000,
ST. CLOUD,CLEARVIEW EL.,79,0.9494,0.0000,0.0506,0.0000,
CAMBRIDGE-ISANTI,ISANTI PRIMARY SCHOOL,139,0.9496,0.0288,0.0216,0.0000,
FOND DU LAC OJIBWE,FOND DU LAC OJIBWE,20,0.9500,0.0500,0.0000,0.0000,
MINNEWASKA,MINNEWASKA ELEMENTARY K-3,100,0.9500,0.0400,0.0100,0.0000,
OSSEO,PARK BROOK EL.,40,0.9500,0.0000,0.0500,0.0000,
ROBBINSDALE,NEILL EL.,60,0.9500,0.0000,0.0333,0.0167,
ROSEVILLE,PARKVIEW CENTER EL.,80,0.9500,0.0250,0.0250,0.0000,
SHAKOPEE,SUN PATH EL.,100,0.9500,0.0000,0.0500,0.0000,
ST. FRANCIS,ST. FRANCIS EL.,100,0.9500,0.0100,0.0300,0.0100,
STILLWATER,ANDERSEN EL.,60,0.9500,0.0167,0.0333,0.0000,
WEST SIDE SUMMIT CHARTER SCHOOL,WEST SIDE SUMMIT CHARTER SCHOOL,20,0.9500,0.0500,0.0000,0.0000,
WESTONKA,SHIRLEY HILLS PRIMARY SCHOOL,80,0.9500,0.0125,0.0375,0.0000,
ELK RIVER,ROGERS EL.,101,0.9505,0.0099,0.0396,0.0000,
HUTCHINSON,HUTCHINSON WEST EL.,182,0.9505,0.0000,0.0495,0.0000,
WADENA-DEER CREEK,WADENA-DEER CREEK EL.,81,0.9506,0.0000,0.0494,0.0000,
LITTLE FALLS,LINCOLN EL.,61,0.9508,0.0000,0.0492,0.0000,
SAUK RAPIDS,PLEASANT VIEW EL.,122,0.9508,0.0082,0.0410,0.0000,
SOUTH WASHINGTON COUNTY,SAINT AMBROSE OF WOODBURY,61,0.9508,0.0000,0.0492,0.0000,
WATERTOWN-MAYER,WATERTOWN-MAYER PRIMARY,102,0.9510,0.0294,0.0098,0.0098,
REDWOOD FALLS AREA SCHOOLS,REEDE GRAY ELEMENTARY SCHOOL,82,0.9512,0.0244,0.0244,0.0000,
WHITE BEAR LAKE,BIRCH LAKE EL.,41,0.9512,0.0000,0.0244,0.0244,
ANOKA-HENNEPIN,OXBOW CREEK EL.,186,0.9516,0.0376,0.0108,0.0000,
HOWARD LAKE-WAVERLY-WINSTED,HUMPHREY EL.,62,0.9516,0.0000,0.0484,0.0000,
BURNSVILLE,VISTA VIEW EL.,63,0.9524,0.0000,0.0476,0.0000,
MAHNOMEN,MAHNOMEN EL.,63,0.9524,0.0000,0.0476,0.0000,
OSSEO,RUSH CREEK EL.,126,0.9524,0.0000,0.0397,0.0079,
PELICAN RAPIDS,PELICAN RAPIDS EL.,63,0.9524,0.0476,0.0000,0.0000,
WINONA AREA PUBLIC SCHOOLS,GOODVIEW EL.,42,0.9524,0.0238,0.0238,0.0000,
MONTEVIDEO,SANFORD EDUCATION CENTER,106,0.9528,0.0189,0.0283,0.0000,
ANOKA-HENNEPIN,MISSISSIPPI EL.,64,0.9531,0.0469,0.0000,0.0000,
BLOOMINGTON,HILLCREST EL.,64,0.9531,0.0156,0.0313,0.0000,
ROSEVILLE,EDGERTON EL.,64,0.9531,0.0313,0.0156,0.0000,
WARROAD,WARROAD EL.,64,0.9531,0.0156,0.0313,0.0000,
LAKEVILLE,KENNEDY EL.,107,0.9533,0.0000,0.0467,0.0000,
CENTENNIAL,BLUE HERON ELEMENTARY,129,0.9535,0.0078,0.0388,0.0000,
DULUTH,STOWE EL.,43,0.9535,0.0233,0.0233,0.0000,
ST. PAUL,BEN MAYS,86,0.9535,0.0116,0.0116,0.0233,
ST. PAUL,HIGHLAND CATHOLIC,43,0.9535,0.0465,0.0000,0.0000,
LAKE CRYSTAL-WELLCOME MEMORIAL,LK CRYSTAL WELCOME MEMORIAL EL.,87,0.9540,0.0345,0.0115,0.0000,
ALEXANDRIA,MILTONA EL.,22,0.9545,0.0000,0.0455,0.0000,
EDEN VALLEY-WATKINS,EDEN VALLEY EL.,22,0.9545,0.0000,0.0455,0.0000,
FISHER,FISHER PUBLIC SCHOOL,22,0.9545,0.0455,0.0000,0.0000,
FRIDLEY,STEVENSON EL.,110,0.9545,0.0000,0.0455,0.0000,
HOWARD LAKE-WAVERLY-WINSTED,WINSTED EL.,44,0.9545,0.0000,0.0455,0.0000,
LAKEVILLE,ALL SAINTS CATHOLIC SCHOOL,44,0.9545,0.0000,0.0455,0.0000,
MINNEAPOLIS,WAITE PARK EL.,66,0.9545,0.0455,0.0000,0.0000,
MINNEOTA,MINNEOTA PUBLIC SCHOOLS,44,0.9545,0.0455,0.0000,0.0000,
ROCHESTER,ROCHESTER MONTESSORI,22,0.9545,0.0455,0.0000,0.0000,
ST. PAUL,EASTERN HEIGHTS,66,0.9545,0.0455,0.0000,0.0000,
RED WING,SUNNYSIDE EL.,222,0.9550,0.0090,0.0360,0.0000,
ST. FRANCIS,EAST BETHEL COMMUNITY EL.,89,0.9551,0.0000,0.0449,0.0000,
WAYZATA,BIRCHVIEW EL.,89,0.9551,0.0000,0.0225,0.0225,
RICHFIELD,CENTENNIAL ELEMENTARY,67,0.9552,0.0448,0.0000,0.0000,
GOODHUE,GOODHUE PUBLIC SCHOOL,45,0.9556,0.0222,0.0222,0.0000,
SOUTH WASHINGTON COUNTY,MIDDLETON EL.,90,0.9556,0.0000,0.0444,0.0000,
OSSEO,BASSWOOD EL.,181,0.9558,0.0110,0.0276,0.0055,
FARIBAULT,JEFFERSON EL.,68,0.9559,0.0000,0.0441,0.0000,
NEW PRAGUE AREA SCHOOLS,FALCON RIDGE ELEMENTARY,91,0.9560,0.0220,0.0220,0.0000,
BYRON,BRYON PRIMARY,160,0.9563,0.0063,0.0313,0.0063,
BUFFALO,NORTHWINDS ELEMENTARY SCHOOL,92,0.9565,0.0000,0.0435,0.0000,
FLOODWOOD,FLOODWOOD ELEMENTARY,23,0.9565,0.0435,0.0000,0.0000,
FOREST LAKE,COLUMBUS EL.,46,0.9565,0.0217,0.0217,0.0000,
ROCHESTER,ST PIUS X,23,0.9565,0.0000,0.0435,0.0000,
SARTELL,PINE MEADOW EL.,115,0.9565,0.0000,0.0435,0.0000,
SPRING LAKE PARK,NORTHPOINT ELEMENTARY,161,0.9565,0.0000,0.0435,0.0000,
ST. LOUIS PARK,SUSAN LINDGREN EL.,92,0.9565,0.0109,0.0326,0.0000,
WHITE BEAR LAKE,LIBERTY CLASSICAL,23,0.9565,0.0000,0.0435,0.0000,
YELLOW MEDICINE EAST,BERT RANEY EL.,46,0.9565,0.0435,0.0000,0.0000,
BRAINERD,BAXTER EL.,93,0.9570,0.0000,0.0430,0.0000,
WEST ST. PAUL-MENDOTA HTS.-EAGAN,GARLOUGH EL.,93,0.9570,0.0430,0.0000,0.0000,
DULUTH,CONGDON PARK EL.,94,0.9574,0.0319,0.0106,0.0000,
MOUNTAIN IRON-BUHL,MERRITT EL.,47,0.9574,0.0000,0.0426,0.0000,
ST. PAUL,ST. PAUL MUSIC ACADEMY,94,0.9574,0.0319,0.0106,0.0000,
ANOKA-HENNEPIN,FRANKLIN EL.,71,0.9577,0.0282,0.0141,0.0000,
ROSEVILLE,FALCON HEIGHTS EL.,71,0.9577,0.0141,0.0282,0.0000,
MONTICELLO,EASTVIEW EDUCATION CENTER,332,0.9578,0.0211,0.0211,0.0000,
ROBBINSDALE,FOREST EL.,95,0.9579,0.0105,0.0316,0.0000,
ALBANY,AVON EL.,48,0.9583,0.0000,0.0417,0.0000,
BLOOMINGTON,WASHBURN EL.,72,0.9583,0.0000,0.0417,0.0000,
BURNSVILLE,WILLIAM BYRNE EL.,72,0.9583,0.0417,0.0000,0.0000,
FRIDLEY,HAYES EL.,96,0.9583,0.0104,0.0208,0.0104,
TRI-CITY UNITED SCHOOL DISTRICT,MONTGOMERY K-8,48,0.9583,0.0000,0.0417,0.0000,
VIRGINIA,MARQUETTE,24,0.9583,0.0000,0.0417,0.0000,
